,L,W,id_1,id_2,id_3,id_4,id_5,id_6,id_7,id_8,id_9,id_10,id_11,id_12,id_13,id_14,id_15,id_16,id_17,id_18,id_19,id_20,id_21,id_22,id_23,id_24,id_25,id_26,id_27,id_28,id_29,id_30
227,0.0151,0.0376,6.08E-10,1.04E-09,1.73E-09,2.88E-09,4.80E-09,7.94E-09,1.31E-08,2.16E-08,3.54E-08,5.78E-08,9.43E-08,1.53E-07,2.53E-07,4.07E-07,6.53E-07,1.04E-06,1.55E-06,2.30E-06,3.41E-06,5.00E-06,6.83E-06,8.82E-06,1.11E-05,1.39E-05,1.74E-05,2.16E-05,2.68E-05,3.29E-05,3.84E-05,4.08E-05
228,0.0151,0.0386,6.09E-10,1.04E-09,1.74E-09,2.89E-09,4.81E-09,7.96E-09,1.31E-08,2.17E-08,3.55E-08,5.80E-08,9.46E-08,1.53E-07,2.53E-07,4.08E-07,6.55E-07,1.04E-06,1.55E-06,2.31E-06,3.42E-06,5.01E-06,6.84E-06,8.84E-06,1.11E-05,1.39E-05,1.74E-05,2.16E-05,2.68E-05,3.29E-05,3.85E-05,4.09E-05
229,0.0151,0.0397,6.11E-10,1.04E-09,1.74E-09,2.90E-09,4.82E-09,7.98E-09,1.32E-08,2.17E-08,3.56E-08,5.81E-08,9.48E-08,1.54E-07,2.54E-07,4.09E-07,6.57E-07,1.04E-06,1.56E-06,2.31E-06,3.43E-06,5.02E-06,6.86E-06,8.86E-06,1.12E-05,1.40E-05,1.74E-05,2.17E-05,2.69E-05,3.30E-05,3.86E-05,4.10E-05
230,0.0151,0.0407,6.12E-10,1.05E-09,1.75E-09,2.91E-09,4.84E-09,8.00E-09,1.32E-08,2.18E-08,3.57E-08,5.83E-08,9.50E-08,1.54E-07,2.55E-07,4.10E-07,6.58E-07,1.05E-06,1.56E-06,2.32E-06,3.44E-06,5.04E-06,6.88E-06,8.89E-06,1.12E-05,1.40E-05,1.75E-05,2.17E-05,2.70E-05,3.31E-05,3.87E-05,4.10E-05
231,0.0151,0.0417,6.13E-10,1.05E-09,1.75E-09,2.91E-09,4.85E-09,8.02E-09,1.32E-08,2.18E-08,3.58E-08,5.84E-08,9.53E-08,1.54E-07,2.55E-07,4.11E-07,6.60E-07,1.05E-06,1.56E-06,2.32E-06,3.45E-06,5.05E-06,6.90E-06,8.91E-06,1.12E-05,1.40E-05,1.75E-05,2.18E-05,2.70E-05,3.32E-05,3.87E-05,4.11E-05
232,0.0151,0.0428,6.15E-10,1.05E-09,1.76E-09,2.92E-09,4.86E-09,8.05E-09,1.33E-08,2.19E-08,3.59E-08,5.86E-08,9.55E-08,1.55E-07,2.56E-07,4.13E-07,6.62E-07,1.05E-06,1.57E-06,2.33E-06,3.46E-06,5.06E-06,6.91E-06,8.93E-06,1.12E-05,1.41E-05,1.76E-05,2.18E-05,2.71E-05,3.32E-05,3.88E-05,4.12E-05
233,0.0151,0.0438,6.16E-10,1.05E-09,1.76E-09,2.93E-09,4.87E-09,8.07E-09,1.33E-08,2.19E-08,3.60E-08,5.87E-08,9.58E-08,1.55E-07,2.57E-07,4.14E-07,6.63E-07,1.05E-06,1.57E-06,2.34E-06,3.46E-06,5.07E-06,6.93E-06,8.95E-06,1.13E-05,1.41E-05,1.76E-05,2.19E-05,2.71E-05,3.33E-05,3.89E-05,4.13E-05
234,0.0151,0.0448,6.18E-10,1.06E-09,1.76E-09,2.94E-09,4.88E-09,8.09E-09,1.33E-08,2.20E-08,3.60E-08,5.89E-08,9.60E-08,1.56E-07,2.57E-07,4.15E-07,6.65E-07,1.06E-06,1.58E-06,2.34E-06,3.47E-06,5.08E-06,6.95E-06,8.97E-06,1.13E-05,1.41E-05,1.76E-05,2.19E-05,2.72E-05,3.34E-05,3.90E-05,4.14E-05
235,0.0151,0.0459,6.19E-10,1.06E-09,1.77E-09,2.94E-09,4.90E-09,8.11E-09,1.34E-08,2.20E-08,3.61E-08,5.90E-08,9.62E-08,1.56E-07,2.58E-07,4.16E-07,6.67E-07,1.06E-06,1.58E-06,2.35E-06,3.48E-06,5.10E-06,6.97E-06,9.00E-06,1.13E-05,1.42E-05,1.77E-05,2.20E-05,2.73E-05,3.35E-05,3.91E-05,4.15E-05
236,0.0151,0.0469,6.21E-10,1.06E-09,1.77E-09,2.95E-09,4.91E-09,8.13E-09,1.34E-08,2.21E-08,3.62E-08,5.92E-08,9.65E-08,1.56E-07,2.58E-07,4.17E-07,6.69E-07,1.06E-06,1.58E-06,2.36E-06,3.49E-06,5.11E-06,6.98E-06,9.02E-06,1.13E-05,1.42E-05,1.77E-05,2.20E-05,2.73E-05,3.35E-05,3.91E-05,4.16E-05
237,0.0151,0.0479,6.22E-10,1.07E-09,1.78E-09,2.96E-09,4.92E-09,8.15E-09,1.34E-08,2.22E-08,3.63E-08,5.93E-08,9.67E-08,1.57E-07,2.59E-07,4.18E-07,6.70E-07,1.07E-06,1.59E-06,2.36E-06,3.50E-06,5.12E-06,7.00E-06,9.04E-06,1.14E-05,1.42E-05,1.78E-05,2.21E-05,2.74E-05,3.36E-05,3.92E-05,4.16E-05
238,0.0151,0.049,6.24E-10,1.07E-09,1.78E-09,2.97E-09,4.94E-09,8.17E-09,1.35E-08,2.22E-08,3.64E-08,5.95E-08,9.70E-08,1.57E-07,2.60E-07,4.19E-07,6.72E-07,1.07E-06,1.59E-06,2.37E-06,3.51E-06,5.13E-06,7.02E-06,9.06E-06,1.14E-05,1.43E-05,1.78E-05,2.21E-05,2.74E-05,3.37E-05,3.93E-05,4.17E-05
239,0.0151,0.05,6.25E-10,1.07E-09,1.79E-09,2.97E-09,4.95E-09,8.19E-09,1.35E-08,2.23E-08,3.65E-08,5.96E-08,9.72E-08,1.58E-07,2.60E-07,4.20E-07,6.74E-07,1.07E-06,1.60E-06,2.37E-06,3.52E-06,5.15E-06,7.03E-06,9.08E-06,1.14E-05,1.43E-05,1.78E-05,2.22E-05,2.75E-05,3.38E-05,3.94E-05,4.18E-05
240,0.0156,0.02,5.75E-10,9.77E-10,1.64E-09,2.72E-09,4.53E-09,7.50E-09,1.24E-08,2.04E-08,3.35E-08,5.47E-08,8.91E-08,1.45E-07,2.40E-07,3.86E-07,6.20E-07,9.82E-07,1.47E-06,2.18E-06,3.23E-06,4.76E-06,6.50E-06,8.39E-06,1.06E-05,1.33E-05,1.66E-05,2.07E-05,2.56E-05,3.14E-05,3.69E-05,3.92E-05
241,0.0156,0.021,5.77E-10,9.80E-10,1.64E-09,2.73E-09,4.54E-09,7.52E-09,1.24E-08,2.05E-08,3.35E-08,5.48E-08,8.94E-08,1.45E-07,2.40E-07,3.87E-07,6.21E-07,9.85E-07,1.47E-06,2.18E-06,3.24E-06,4.77E-06,6.51E-06,8.41E-06,1.06E-05,1.33E-05,1.66E-05,2.07E-05,2.57E-05,3.15E-05,3.70E-05,3.92E-05
242,0.0156,0.0221,5.78E-10,9.83E-10,1.64E-09,2.74E-09,4.55E-09,7.54E-09,1.24E-08,2.05E-08,3.36E-08,5.49E-08,8.96E-08,1.45E-07,2.41E-07,3.88E-07,6.23E-07,9.88E-07,1.47E-06,2.19E-06,3.25E-06,4.78E-06,6.53E-06,8.44E-06,1.07E-05,1.34E-05,1.67E-05,2.07E-05,2.57E-05,3.16E-05,3.70E-05,3.93E-05
243,0.0156,0.0231,5.79E-10,9.85E-10,1.65E-09,2.74E-09,4.56E-09,7.56E-09,1.25E-08,2.06E-08,3.37E-08,5.51E-08,8.98E-08,1.46E-07,2.41E-07,3.89E-07,6.24E-07,9.90E-07,1.48E-06,2.20E-06,3.26E-06,4.79E-06,6.55E-06,8.46E-06,1.07E-05,1.34E-05,1.67E-05,2.08E-05,2.58E-05,3.17E-05,3.71E-05,3.94E-05
244,0.0156,0.0241,5.81E-10,9.88E-10,1.65E-09,2.75E-09,4.58E-09,7.58E-09,1.25E-08,2.06E-08,3.38E-08,5.52E-08,9.01E-08,1.46E-07,2.42E-07,3.90E-07,6.26E-07,9.93E-07,1.48E-06,2.20E-06,3.27E-06,4.81E-06,6.56E-06,8.48E-06,1.07E-05,1.34E-05,1.67E-05,2.08E-05,2.59E-05,3.17E-05,3.72E-05,3.95E-05
245,0.0156,0.0252,5.82E-10,9.90E-10,1.66E-09,2.76E-09,4.59E-09,7.60E-09,1.25E-08,2.07E-08,3.39E-08,5.54E-08,9.03E-08,1.46E-07,2.43E-07,3.91E-07,6.28E-07,9.96E-07,1.49E-06,2.21E-06,3.28E-06,4.82E-06,6.58E-06,8.50E-06,1.07E-05,1.35E-05,1.68E-05,2.09E-05,2.59E-05,3.18E-05,3.73E-05,3.96E-05
246,0.0156,0.0262,5.83E-10,9.93E-10,1.66E-09,2.77E-09,4.60E-09,7.62E-09,1.26E-08,2.07E-08,3.40E-08,5.55E-08,9.05E-08,1.47E-07,2.43E-07,3.92E-07,6.29E-07,9.98E-07,1.49E-06,2.21E-06,3.28E-06,4.83E-06,6.60E-06,8.52E-06,1.08E-05,1.35E-05,1.68E-05,2.09E-05,2.60E-05,3.19E-05,3.74E-05,3.97E-05
247,0.0156,0.0272,5.85E-10,9.95E-10,1.67E-09,2.77E-09,4.61E-09,7.64E-09,1.26E-08,2.08E-08,3.41E-08,5.56E-08,9.07E-08,1.47E-07,2.44E-07,3.93E-07,6.31E-07,1.00E-06,1.49E-06,2.22E-06,3.29E-06,4.84E-06,6.61E-06,8.54E-06,1.08E-05,1.35E-05,1.69E-05,2.10E-05,2.60E-05,3.19E-05,3.74E-05,3.97E-05
248,0.0156,0.0283,5.86E-10,9.98E-10,1.67E-09,2.78E-09,4.63E-09,7.66E-09,1.26E-08,2.08E-08,3.41E-08,5.58E-08,9.10E-08,1.48E-07,2.44E-07,3.94E-07,6.33E-07,1.00E-06,1.50E-06,2.23E-06,3.30E-06,4.85E-06,6.63E-06,8.56E-06,1.08E-05,1.35E-05,1.69E-05,2.10E-05,2.61E-05,3.20E-05,3.75E-05,3.98E-05
249,0.0156,0.0293,5.88E-10,1.00E-09,1.67E-09,2.79E-09,4.64E-09,7.68E-09,1.27E-08,2.09E-08,3.42E-08,5.59E-08,9.12E-08,1.48E-07,2.45E-07,3.95E-07,6.34E-07,1.01E-06,1.50E-06,2.23E-06,3.31E-06,4.86E-06,6.65E-06,8.59E-06,1.08E-05,1.36E-05,1.69E-05,2.11E-05,2.62E-05,3.21E-05,3.76E-05,3.99E-05
250,0.0156,0.0303,5.89E-10,1.00E-09,1.68E-09,2.79E-09,4.65E-09,7.70E-09,1.27E-08,2.09E-08,3.43E-08,5.61E-08,9.14E-08,1.48E-07,2.46E-07,3.96E-07,6.36E-07,1.01E-06,1.51E-06,2.24E-06,3.32E-06,4.88E-06,6.66E-06,8.61E-06,1.09E-05,1.36E-05,1.70E-05,2.11E-05,2.62E-05,3.22E-05,3.77E-05,4.00E-05
251,0.0156,0.0314,5.90E-10,1.01E-09,1.68E-09,2.80E-09,4.66E-09,7.72E-09,1.27E-08,2.10E-08,3.44E-08,5.62E-08,9.17E-08,1.49E-07,2.46E-07,3.97E-07,6.37E-07,1.01E-06,1.51E-06,2.24E-06,3.33E-06,4.89E-06,6.68E-06,8.63E-06,1.09E-05,1.36E-05,1.70E-05,2.12E-05,2.63E-05,3.22E-05,3.78E-05,4.01E-05
252,0.0156,0.0324,5.92E-10,1.01E-09,1.69E-09,2.81E-09,4.67E-09,7.74E-09,1.28E-08,2.10E-08,3.45E-08,5.64E-08,9.19E-08,1.49E-07,2.47E-07,3.98E-07,6.39E-07,1.01E-06,1.51E-06,2.25E-06,3.34E-06,4.90E-06,6.70E-06,8.65E-06,1.09E-05,1.37E-05,1.71E-05,2.12E-05,2.63E-05,3.23E-05,3.78E-05,4.02E-05
253,0.0156,0.0334,5.93E-10,1.01E-09,1.69E-09,2.82E-09,4.68E-09,7.76E-09,1.28E-08,2.11E-08,3.46E-08,5.65E-08,9.21E-08,1.49E-07,2.47E-07,3.99E-07,6.41E-07,1.02E-06,1.52E-06,2.26E-06,3.34E-06,4.91E-06,6.71E-06,8.67E-06,1.09E-05,1.37E-05,1.71E-05,2.13E-05,2.64E-05,3.24E-05,3.79E-05,4.02E-05
254,0.0156,0.0345,5.95E-10,1.01E-09,1.70E-09,2.82E-09,4.70E-09,7.78E-09,1.28E-08,2.12E-08,3.47E-08,5.66E-08,9.24E-08,1.50E-07,2.48E-07,4.00E-07,6.42E-07,1.02E-06,1.52E-06,2.26E-06,3.35E-06,4.92E-06,6.73E-06,8.69E-06,1.10E-05,1.37E-05,1.71E-05,2.13E-05,2.65E-05,3.25E-05,3.80E-05,4.03E-05
255,0.0156,0.0355,5.96E-10,1.02E-09,1.70E-09,2.83E-09,4.71E-09,7.80E-09,1.29E-08,2.12E-08,3.48E-08,5.68E-08,9.26E-08,1.50E-07,2.49E-07,4.01E-07,6.44E-07,1.02E-06,1.53E-06,2.27E-06,3.36E-06,4.94E-06,6.75E-06,8.71E-06,1.10E-05,1.38E-05,1.72E-05,2.14E-05,2.65E-05,3.25E-05,3.81E-05,4.04E-05
256,0.0156,0.0366,5.97E-10,1.02E-09,1.71E-09,2.84E-09,4.72E-09,7.82E-09,1.29E-08,2.13E-08,3.49E-08,5.69E-08,9.29E-08,1.51E-07,2.49E-07,4.02E-07,6.46E-07,1.03E-06,1.53E-06,2.27E-06,3.37E-06,4.95E-06,6.76E-06,8.74E-06,1.10E-05,1.38E-05,1.72E-05,2.14E-05,2.66E-05,3.26E-05,3.82E-05,4.05E-05
257,0.0156,0.0376,5.99E-10,1.02E-09,1.71E-09,2.85E-09,4.73E-09,7.84E-09,1.29E-08,2.13E-08,3.49E-08,5.71E-08,9.31E-08,1.51E-07,2.50E-07,4.03E-07,6.47E-07,1.03E-06,1.53E-06,2.28E-06,3.38E-06,4.96E-06,6.78E-06,8.76E-06,1.10E-05,1.38E-05,1.73E-05,2.15E-05,2.66E-05,3.27E-05,3.82E-05,4.06E-05
258,0.0156,0.0386,6.00E-10,1.03E-09,1.71E-09,2.85E-09,4.75E-09,7.86E-09,1.30E-08,2.14E-08,3.50E-08,5.72E-08,9.33E-08,1.51E-07,2.51E-07,4.04E-07,6.49E-07,1.03E-06,1.54E-06,2.29E-06,3.39E-06,4.97E-06,6.80E-06,8.78E-06,1.11E-05,1.39E-05,1.73E-05,2.15E-05,2.67E-05,3.28E-05,3.83E-05,4.07E-05
259,0.0156,0.0397,6.02E-10,1.03E-09,1.72E-09,2.86E-09,4.76E-09,7.88E-09,1.30E-08,2.14E-08,3.51E-08,5.74E-08,9.36E-08,1.52E-07,2.51E-07,4.05E-07,6.51E-07,1.03E-06,1.54E-06,2.29E-06,3.40E-06,4.99E-06,6.82E-06,8.80E-06,1.11E-05,1.39E-05,1.73E-05,2.16E-05,2.67E-05,3.28E-05,3.84E-05,4.08E-05
260,0.0156,0.0407,6.03E-10,1.03E-09,1.72E-09,2.87E-09,4.77E-09,7.90E-09,1.30E-08,2.15E-08,3.52E-08,5.75E-08,9.38E-08,1.52E-07,2.52E-07,4.06E-07,6.52E-07,1.04E-06,1.55E-06,2.30E-06,3.41E-06,5.00E-06,6.83E-06,8.82E-06,1.11E-05,1.39E-05,1.74E-05,2.16E-05,2.68E-05,3.29E-05,3.85E-05,4.08E-05
261,0.0156,0.0417,6.04E-10,1.03E-09,1.73E-09,2.87E-09,4.78E-09,7.92E-09,1.31E-08,2.15E-08,3.53E-08,5.77E-08,9.40E-08,1.52E-07,2.52E-07,4.07E-07,6.54E-07,1.04E-06,1.55E-06,2.30E-06,3.42E-06,5.01E-06,6.85E-06,8.85E-06,1.11E-05,1.40E-05,1.74E-05,2.17E-05,2.69E-05,3.30E-05,3.86E-05,4.09E-05
262,0.0156,0.0428,6.06E-10,1.04E-09,1.73E-09,2.88E-09,4.80E-09,7.94E-09,1.31E-08,2.16E-08,3.54E-08,5.78E-08,9.43E-08,1.53E-07,2.53E-07,4.09E-07,6.56E-07,1.04E-06,1.55E-06,2.31E-06,3.42E-06,5.02E-06,6.87E-06,8.87E-06,1.12E-05,1.40E-05,1.75E-05,2.17E-05,2.69E-05,3.31E-05,3.86E-05,4.10E-05
263,0.0156,0.0438,6.07E-10,1.04E-09,1.74E-09,2.89E-09,4.81E-09,7.96E-09,1.31E-08,2.16E-08,3.55E-08,5.80E-08,9.45E-08,1.53E-07,2.54E-07,4.10E-07,6.57E-07,1.04E-06,1.56E-06,2.32E-06,3.43E-06,5.03E-06,6.88E-06,8.89E-06,1.12E-05,1.40E-05,1.75E-05,2.17E-05,2.70E-05,3.31E-05,3.87E-05,4.11E-05
264,0.0156,0.0448,6.09E-10,1.04E-09,1.74E-09,2.90E-09,4.82E-09,7.98E-09,1.32E-08,2.17E-08,3.56E-08,5.81E-08,9.47E-08,1.54E-07,2.54E-07,4.11E-07,6.59E-07,1.05E-06,1.56E-06,2.32E-06,3.44E-06,5.05E-06,6.90E-06,8.91E-06,1.12E-05,1.40E-05,1.75E-05,2.18E-05,2.70E-05,3.32E-05,3.88E-05,4.12E-05
265,0.0156,0.0459,6.10E-10,1.05E-09,1.75E-09,2.91E-09,4.83E-09,8.00E-09,1.32E-08,2.18E-08,3.57E-08,5.82E-08,9.50E-08,1.54E-07,2.55E-07,4.12E-07,6.61E-07,1.05E-06,1.57E-06,2.33E-06,3.45E-06,5.06E-06,6.92E-06,8.93E-06,1.12E-05,1.41E-05,1.76E-05,2.18E-05,2.71E-05,3.33E-05,3.89E-05,4.13E-05
266,0.0156,0.0469,6.11E-10,1.05E-09,1.75E-09,2.91E-09,4.84E-09,8.02E-09,1.32E-08,2.18E-08,3.57E-08,5.84E-08,9.52E-08,1.54E-07,2.56E-07,4.13E-07,6.62E-07,1.05E-06,1.57E-06,2.33E-06,3.46E-06,5.07E-06,6.93E-06,8.96E-06,1.13E-05,1.41E-05,1.76E-05,2.19E-05,2.72E-05,3.34E-05,3.89E-05,4.13E-05
267,0.0156,0.0479,6.13E-10,1.05E-09,1.76E-09,2.92E-09,4.86E-09,8.04E-09,1.33E-08,2.19E-08,3.58E-08,5.85E-08,9.54E-08,1.55E-07,2.56E-07,4.14E-07,6.64E-07,1.06E-06,1.57E-06,2.34E-06,3.47E-06,5.08E-06,6.95E-06,8.98E-06,1.13E-05,1.41E-05,1.76E-05,2.19E-05,2.72E-05,3.34E-05,3.90E-05,4.14E-05
268,0.0156,0.049,6.14E-10,1.06E-09,1.76E-09,2.93E-09,4.87E-09,8.06E-09,1.33E-08,2.19E-08,3.59E-08,5.87E-08,9.57E-08,1.55E-07,2.57E-07,4.15E-07,6.66E-07,1.06E-06,1.58E-06,2.35E-06,3.48E-06,5.09E-06,6.97E-06,9.00E-06,1.13E-05,1.42E-05,1.77E-05,2.20E-05,2.73E-05,3.35E-05,3.91E-05,4.15E-05
269,0.0156,0.05,6.16E-10,1.06E-09,1.77E-09,2.93E-09,4.88E-09,8.08E-09,1.33E-08,2.20E-08,3.60E-08,5.88E-08,9.59E-08,1.56E-07,2.57E-07,4.16E-07,6.67E-07,1.06E-06,1.58E-06,2.35E-06,3.49E-06,5.11E-06,6.99E-06,9.02E-06,1.13E-05,1.42E-05,1.77E-05,2.20E-05,2.73E-05,3.36E-05,3.92E-05,4.16E-05
270,0.016,0.02,5.68E-10,9.67E-10,1.62E-09,2.69E-09,4.48E-09,7.42E-09,1.22E-08,2.02E-08,3.31E-08,5.41E-08,8.82E-08,1.43E-07,2.37E-07,3.83E-07,6.15E-07,9.75E-07,1.46E-06,2.16E-06,3.21E-06,4.73E-06,6.46E-06,8.35E-06,1.06E-05,1.32E-05,1.65E-05,2.06E-05,2.55E-05,3.13E-05,3.67E-05,3.90E-05
271,0.016,0.021,5.70E-10,9.69E-10,1.62E-09,2.70E-09,4.49E-09,7.44E-09,1.23E-08,2.02E-08,3.32E-08,5.42E-08,8.84E-08,1.43E-07,2.38E-07,3.84E-07,6.16E-07,9.78E-07,1.46E-06,2.17E-06,3.22E-06,4.74E-06,6.48E-06,8.37E-06,1.06E-05,1.33E-05,1.66E-05,2.06E-05,2.56E-05,3.14E-05,3.68E-05,3.91E-05
272,0.016,0.0221,5.71E-10,9.72E-10,1.63E-09,2.71E-09,4.50E-09,7.46E-09,1.23E-08,2.03E-08,3.33E-08,5.44E-08,8.87E-08,1.44E-07,2.39E-07,3.85E-07,6.18E-07,9.81E-07,1.46E-06,2.18E-06,3.23E-06,4.75E-06,6.49E-06,8.39E-06,1.06E-05,1.33E-05,1.66E-05,2.06E-05,2.56E-05,3.14E-05,3.69E-05,3.92E-05
273,0.016,0.0231,5.72E-10,9.75E-10,1.63E-09,2.71E-09,4.52E-09,7.48E-09,1.23E-08,2.03E-08,3.34E-08,5.45E-08,8.89E-08,1.44E-07,2.39E-07,3.86E-07,6.20E-07,9.83E-07,1.47E-06,2.18E-06,3.23E-06,4.76E-06,6.51E-06,8.41E-06,1.06E-05,1.33E-05,1.66E-05,2.07E-05,2.57E-05,3.15E-05,3.70E-05,3.92E-05
274,0.016,0.0241,5.74E-10,9.77E-10,1.63E-09,2.72E-09,4.53E-09,7.50E-09,1.24E-08,2.04E-08,3.34E-08,5.46E-08,8.91E-08,1.45E-07,2.40E-07,3.87E-07,6.21E-07,9.86E-07,1.47E-06,2.19E-06,3.24E-06,4.78E-06,6.53E-06,8.43E-06,1.07E-05,1.34E-05,1.67E-05,2.07E-05,2.57E-05,3.16E-05,3.70E-05,3.93E-05
275,0.016,0.0252,5.75E-10,9.80E-10,1.64E-09,2.73E-09,4.54E-09,7.52E-09,1.24E-08,2.05E-08,3.35E-08,5.48E-08,8.94E-08,1.45E-07,2.40E-07,3.88E-07,6.23E-07,9.88E-07,1.48E-06,2.19E-06,3.25E-06,4.79E-06,6.54E-06,8.45E-06,1.07E-05,1.34E-05,1.67E-05,2.08E-05,2.58E-05,3.17E-05,3.71E-05,3.94E-05
276,0.016,0.0262,5.77E-10,9.82E-10,1.64E-09,2.74E-09,4.55E-09,7.54E-09,1.24E-08,2.05E-08,3.36E-08,5.49E-08,8.96E-08,1.45E-07,2.41E-07,3.89E-07,6.24E-07,9.91E-07,1.48E-06,2.20E-06,3.26E-06,4.80E-06,6.56E-06,8.47E-06,1.07E-05,1.34E-05,1.67E-05,2.08E-05,2.59E-05,3.17E-05,3.72E-05,3.95E-05
277,0.016,0.0272,5.78E-10,9.85E-10,1.65E-09,2.74E-09,4.56E-09,7.55E-09,1.25E-08,2.06E-08,3.37E-08,5.51E-08,8.98E-08,1.46E-07,2.42E-07,3.90E-07,6.26E-07,9.94E-07,1.48E-06,2.20E-06,3.27E-06,4.81E-06,6.57E-06,8.50E-06,1.07E-05,1.34E-05,1.68E-05,2.09E-05,2.59E-05,3.18E-05,3.73E-05,3.96E-05
278,0.016,0.0283,5.79E-10,9.87E-10,1.65E-09,2.75E-09,4.58E-09,7.58E-09,1.25E-08,2.06E-08,3.38E-08,5.52E-08,9.00E-08,1.46E-07,2.42E-07,3.91E-07,6.28E-07,9.96E-07,1.49E-06,2.21E-06,3.28E-06,4.82E-06,6.59E-06,8.52E-06,1.08E-05,1.35E-05,1.68E-05,2.09E-05,2.60E-05,3.19E-05,3.74E-05,3.97E-05
279,0.016,0.0293,5.81E-10,9.90E-10,1.66E-09,2.76E-09,4.59E-09,7.59E-09,1.25E-08,2.07E-08,3.39E-08,5.53E-08,9.03E-08,1.46E-07,2.43E-07,3.92E-07,6.29E-07,9.99E-07,1.49E-06,2.22E-06,3.29E-06,4.83E-06,6.61E-06,8.54E-06,1.08E-05,1.35E-05,1.69E-05,2.10E-05,2.60E-05,3.19E-05,3.74E-05,3.97E-05
280,0.016,0.0303,5.82E-10,9.92E-10,1.66E-09,2.76E-09,4.60E-09,7.61E-09,1.26E-08,2.07E-08,3.40E-08,5.55E-08,9.05E-08,1.47E-07,2.43E-07,3.93E-07,6.31E-07,1.00E-06,1.49E-06,2.22E-06,3.29E-06,4.85E-06,6.62E-06,8.56E-06,1.08E-05,1.35E-05,1.69E-05,2.10E-05,2.61E-05,3.20E-05,3.75E-05,3.98E-05
281,0.016,0.0314,5.83E-10,9.95E-10,1.66E-09,2.77E-09,4.61E-09,7.63E-09,1.26E-08,2.08E-08,3.41E-08,5.56E-08,9.07E-08,1.47E-07,2.44E-07,3.94E-07,6.33E-07,1.00E-06,1.50E-06,2.23E-06,3.30E-06,4.86E-06,6.64E-06,8.58E-06,1.08E-05,1.36E-05,1.69E-05,2.11E-05,2.61E-05,3.21E-05,3.76E-05,3.99E-05
282,0.016,0.0324,5.85E-10,9.98E-10,1.67E-09,2.78E-09,4.62E-09,7.65E-09,1.26E-08,2.08E-08,3.41E-08,5.58E-08,9.10E-08,1.47E-07,2.45E-07,3.95E-07,6.34E-07,1.01E-06,1.50E-06,2.23E-06,3.31E-06,4.87E-06,6.66E-06,8.60E-06,1.09E-05,1.36E-05,1.70E-05,2.11E-05,2.62E-05,3.22E-05,3.77E-05,4.00E-05
283,0.016,0.0334,5.86E-10,1.00E-09,1.67E-09,2.79E-09,4.63E-09,7.67E-09,1.27E-08,2.09E-08,3.42E-08,5.59E-08,9.12E-08,1.48E-07,2.45E-07,3.96E-07,6.36E-07,1.01E-06,1.51E-06,2.24E-06,3.32E-06,4.88E-06,6.67E-06,8.62E-06,1.09E-05,1.36E-05,1.70E-05,2.12E-05,2.63E-05,3.22E-05,3.78E-05,4.01E-05
284,0.016,0.0345,5.88E-10,1.00E-09,1.68E-09,2.79E-09,4.65E-09,7.69E-09,1.27E-08,2.09E-08,3.43E-08,5.61E-08,9.14E-08,1.48E-07,2.46E-07,3.97E-07,6.37E-07,1.01E-06,1.51E-06,2.25E-06,3.33E-06,4.89E-06,6.69E-06,8.65E-06,1.09E-05,1.37E-05,1.71E-05,2.12E-05,2.63E-05,3.23E-05,3.78E-05,4.02E-05
285,0.016,0.0355,5.89E-10,1.01E-09,1.68E-09,2.80E-09,4.66E-09,7.71E-09,1.27E-08,2.10E-08,3.44E-08,5.62E-08,9.16E-08,1.49E-07,2.47E-07,3.98E-07,6.39E-07,1.02E-06,1.51E-06,2.25E-06,3.34E-06,4.91E-06,6.71E-06,8.67E-06,1.09E-05,1.37E-05,1.71E-05,2.13E-05,2.64E-05,3.24E-05,3.79E-05,4.02E-05
286,0.016,0.0366,5.90E-10,1.01E-09,1.69E-09,2.81E-09,4.67E-09,7.73E-09,1.28E-08,2.10E-08,3.45E-08,5.63E-08,9.19E-08,1.49E-07,2.47E-07,3.99E-07,6.41E-07,1.02E-06,1.52E-06,2.26E-06,3.35E-06,4.92E-06,6.73E-06,8.69E-06,1.10E-05,1.37E-05,1.71E-05,2.13E-05,2.64E-05,3.25E-05,3.80E-05,4.03E-05
287,0.016,0.0376,5.92E-10,1.01E-09,1.69E-09,2.82E-09,4.68E-09,7.75E-09,1.28E-08,2.11E-08,3.46E-08,5.65E-08,9.21E-08,1.49E-07,2.48E-07,4.00E-07,6.42E-07,1.02E-06,1.52E-06,2.26E-06,3.36E-06,4.93E-06,6.74E-06,8.71E-06,1.10E-05,1.38E-05,1.72E-05,2.14E-05,2.65E-05,3.25E-05,3.81E-05,4.04E-05
288,0.016,0.0386,5.93E-10,1.01E-09,1.70E-09,2.82E-09,4.70E-09,7.77E-09,1.28E-08,2.11E-08,3.47E-08,5.66E-08,9.23E-08,1.50E-07,2.48E-07,4.01E-07,6.44E-07,1.02E-06,1.53E-06,2.27E-06,3.36E-06,4.94E-06,6.76E-06,8.73E-06,1.10E-05,1.38E-05,1.72E-05,2.14E-05,2.66E-05,3.26E-05,3.82E-05,4.05E-05
